Year,Age,Team,League,Games,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,BA,OBP,SLG,OPS
2015,22,CHC,NL,69,273,232,52,57,6,1,16,43,3,36,77,0.246,0.355,0.487,0.842
2016,23,CHC,NL,2,5,4,0,0,0,0,0,0,0,1,2,0,0.2,0,0.2
2017,24,CHC,NL,129,486,422,67,89,16,1,30,59,1,59,150,0.211,0.315,0.467,0.782
2018,25,CHC,NL,137,510,428,64,102,14,3,26,61,4,78,140,0.238,0.356,0.467,0.823
2019,26,CHC,NL,155,610,529,82,132,29,3,38,92,2,70,156,0.25,0.339,0.531,0.871
2020,27,CHC,NL,59,224,191,30,36,6,0,11,24,1,30,66,0.188,0.308,0.393,0.701
2021,28,TOT,MLB,113,471,399,76,106,19,0,32,71,1,64,127,0.266,0.374,0.554,0.928
2021,28,WSN,NL,72,303,265,42,67,9,0,25,53,1,31,88,0.253,0.34,0.57,0.91
2021,28,BOS,AL,41,168,134,34,39,10,0,7,18,0,33,39,0.291,0.435,0.522,0.957
2022,29,PHI,NL,134,577,503,84,108,20,2,37,79,6,69,179,0.215,0.312,0.483,0.795
